iter	RMSE
0	34.9367214
1	33.59367445
2	32.21968379
3	30.93445099
4	29.74293924
5	28.59367842
6	27.51074851
7	26.48574503
8	25.51641647
9	24.54570069
10	23.64605179
11	22.75904716
12	21.93966715
13	21.19880808
14	20.49826638
15	19.76524412
16	19.09028792
17	18.43061872
18	17.76429522
19	17.11223439
20	16.64373242
21	16.09068671
22	15.55949087
23	15.07315239
24	14.56366744
25	14.12984648
26	13.68420113
27	13.31668141
28	12.90521829
29	12.5331829
30	12.19732488
31	11.86408836
32	11.56966689
33	11.29575157
34	11.00914548
35	10.69672951
36	10.46371622
37	10.20178755
38	9.984625394
39	9.761674012
40	9.544564654
41	9.340051857
42	9.156633638
43	8.964187286
44	8.786108346
45	8.644675839
46	8.479043258
47	8.338715063
48	8.194140807
49	8.047755635
50	7.91776895
51	7.787524971
52	7.658855218
53	7.531159381
54	7.432955526
55	7.332163897
56	7.241789
57	7.14370252
58	7.040944492
59	6.972922045
60	6.891735676
61	6.793574334
62	6.708985466
63	6.634740945
64	6.574039421
65	6.497233283
66	6.42812685
67	6.377649504
68	6.319993687
69	6.258606869
70	6.200093065
71	6.15486112
72	6.116642831
73	6.063408149
74	6.006803249
75	5.966869955
76	5.920920942
77	5.883224926
78	5.840480532
79	5.791807328
80	5.757523624
81	5.71835771
82	5.680592766
83	5.650683613
84	5.608557366
85	5.574570281
86	5.528189502
87	5.502034927
88	5.467410856
89	5.433892568
90	5.407951277
91	5.381389895
92	5.346679112
93	5.319924154
94	5.286796661
95	5.257813882
96	5.224980342
97	5.198031224
98	5.165415744
99	5.132231506
100	5.115737691
101	5.09932003
102	5.077375508
103	5.060240469
104	5.034181916
105	5.004673053
106	4.98500553
107	4.963289484
108	4.941352328
109	4.923921456
110	4.897806262
111	4.874738891
112	4.86010851
113	4.837325248
114	4.816142899
115	4.798777988
116	4.776303685
117	4.753230907
118	4.735441002
119	4.711522649
120	4.692490376
121	4.67200349
122	4.646976019
123	4.629908236
124	4.610654312
125	4.597547321
126	4.585530911
127	4.574746671
128	4.564756982
129	4.546968148
130	4.517470498
131	4.507664252
132	4.492328266
133	4.473818443
134	4.455881387
135	4.444599585
136	4.431333415
137	4.413070015
138	4.408216683
139	4.400564758
140	4.385841438
141	4.375289311
142	4.366173309
143	4.352143745
144	4.339925691
145	4.317312356
146	4.29842426
147	4.281941374
148	4.271608619
149	4.268567167
150	4.258582779
151	4.239568772
152	4.226629164
153	4.21728363
154	4.211741605
155	4.206412594
156	4.202281398
157	4.199427071
158	4.192023439
159	4.180313895
160	4.163222784
161	4.160222882
162	4.141917399
163	4.130905879
164	4.112207031
165	4.09158119
166	4.068200771
167	4.057063542
168	4.055145112
169	4.049148369
170	4.045259389
171	4.043542858
172	4.04126139
173	4.033151366
174	4.014335061
175	4.010584367
176	4.000500924
177	3.980655596
178	3.978142186
179	3.976420886
180	3.968217948
181	3.963885618
182	3.945864181
183	3.944171449
184	3.931448299
185	3.915616034
186	3.905376487
187	3.903353768
188	3.901177915
189	3.886849532
190	3.885016811
191	3.874172946
192	3.861061746
193	3.851387337
194	3.849376227
195	3.833861868
196	3.820976805
197	3.811030871
198	3.800061577
199	3.789045755
200	3.780804511
201	3.761993586
202	3.749132966
203	3.736734361
204	3.717727368
205	3.715536281
206	3.70431061
207	3.701840282
208	3.699544778
209	3.684197988
210	3.66834448
211	3.657817868
212	3.642280514
213	3.635262474
214	3.61910305
215	3.606894045
216	3.603731301
217	3.587316969
218	3.576614018
219	3.56222518
220	3.560442584
221	3.552712413
222	3.542223044
223	3.529674225
224	3.520807028
225	3.505796896
226	3.496258746
227	3.493202987
228	3.486860057
229	3.477930673
230	3.469167924
231	3.456913313
232	3.454935924
233	3.442833761
234	3.42965232
235	3.424714014
236	3.416365011
237	3.40385148
238	3.39294362
239	3.383416389
240	3.373458863
241	3.372145777
242	3.370206488
243	3.366670994
244	3.35922345
